contrast	contrast_pretty	channel	frequency_hz	time_s	difference_db	in_corrected_cluster
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.24	-0.00344690451255211	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.24	0.0726217111715904	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.24	0.191021353006363	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.24	0.257591631256778	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.24	0.266254254258596	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.24	0.252578805845517	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.24	0.252393794769887	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.24	0.209617798861403	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.28	-0.607437059426537	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.28	-0.366738005899466	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.28	-0.735527355510455	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.28	-0.74294474033209	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.28	-0.479696734808385	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.28	-0.197761964052916	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.28	-0.101982275812099	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.28	-0.0903557607760796	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.28	0.0354014520461743	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.28	0.11264953819605	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.28	0.144501601310017	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.28	0.19507271108719	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.28	0.235133431493663	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.28	0.310565787689904	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.32	-0.644930075782423	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.32	-0.519079397504146	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.32	-0.956709011529501	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.32	-0.855829986188417	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.32	-0.529345698368091	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.32	-0.237691928274356	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.32	-0.118976652622223	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.32	-0.189530080327621	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.32	-0.198879024586998	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.32	-0.179346951011282	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.32	-0.161155232443259	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.32	-0.140425486060289	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.32	-0.0960441938010403	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.32	-0.0439025344900214	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.36	-0.681086963185897	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.36	-0.671945822783388	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.36	-1.13494794070721	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.36	-0.95444493712141	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.36	-0.565636321329154	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.36	-0.318820348510949	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.36	-0.200763804981342	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.36	-0.226501647096414	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.36	-0.212527393005215	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.36	-0.146669322194961	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.36	-0.0496606736515577	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.36	0.0359954063494045	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.36	0.112026975131952	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.36	0.0802019828070815	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.4	-0.714077986496984	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.4	-0.782022141672384	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.4	-1.28080242564185	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.4	-1.03538515361456	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.4	-0.619675418505302	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.4	-0.381653804493208	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.4	-0.375439259868402	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.4	-0.359159491956234	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.4	-0.223526574671268	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.4	-0.0977377127856016	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.4	-0.0113040489646105	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.4	0.0278579012598269	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.4	0.00852076523901465	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.4	0.0201294153140715	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.44	-0.744462029876349	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.44	-0.824515889470394	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.44	-1.40187315986707	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.44	-1.11132025460784	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.44	-0.7044248936268	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.44	-0.487370750974291	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.44	-0.493691246096904	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.44	-0.466907240450382	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.44	-0.283710363929948	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.44	-0.16073882407867	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.44	-0.122601562322905	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.44	-0.12446679518773	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.44	-0.11880057083013	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.44	-0.133722282086427	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.48	-0.769721377927523	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.48	-0.812681079197388	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.48	-1.48189018824353	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.48	-1.17396052067096	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.48	-0.806504467502236	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.48	-0.669280302639191	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.48	-0.592914637867719	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.48	-0.521418231037947	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.48	-0.344252130016685	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.48	-0.149889521730634	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.48	-0.0287941219285131	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.48	0.00829984763493905	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.48	0.00429362402512477	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.48	-0.037835066851515	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.52	-0.784763901279523	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.52	-0.786507157608867	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.52	-1.49112883496743	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.52	-1.19164980806482	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.52	-0.843418959814769	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.52	-0.73945776401804	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.52	-0.593499023467302	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.52	-0.446968388672058	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.52	-0.291326777579693	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.52	-0.155588559591426	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.52	-0.077936503283966	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.52	-0.034337816043542	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.52	-0.0109638300581047	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.52	-0.0292926422105386	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.56	-0.785124997106882	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.56	-0.769680578476534	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.56	-1.41005081439821	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.56	-1.12061299412296	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.56	-0.768250977477202	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.56	-0.615942306816578	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.56	-0.522116539552091	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.56	-0.323933777614282	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.56	-0.134860989306337	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.56	-0.0173642145326504	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.56	0.0277712581535945	0
