contrast	contrast_pretty	channel	theta_deg	radius	difference_db_at_peak	in_corrected_cluster_at_peak
Memorize_minus_Ignore	Memorize - Ignore	FCZ	3.19742757888598	0.121173927078835	-0.475090108310374	1
Memorize_minus_Ignore	Memorize - Ignore	FC2	41.1475653750066	0.15572644295323	-0.457520049136992	1
Memorize_minus_Ignore	Memorize - Ignore	FC4	58.807604190833	0.23293691688079	-0.442934328546891	1
Memorize_minus_Ignore	Memorize - Ignore	FC6	64.96101336658	0.317445599180471	-0.346546343312814	1
Memorize_minus_Ignore	Memorize - Ignore	FT8	66.8805520666956	0.409041637725638	-0.245804099222788	0
Memorize_minus_Ignore	Memorize - Ignore	FT10	69.0971575128836	0.507273781088757	-0.114177228453068	0
Memorize_minus_Ignore	Memorize - Ignore	T7	-87.4393835931012	0.415296323629828	-0.672980507979026	1
Memorize_minus_Ignore	Memorize - Ignore	C5	-87.3300820640561	0.310108003646243	-0.915288450053105	1
Memorize_minus_Ignore	Memorize - Ignore	C3	-87.2270240764311	0.209749783101848	-1.03601337926319	1
Memorize_minus_Ignore	Memorize - Ignore	C1	-84.9952922603438	0.100450053630482	-0.851571139234763	1
Memorize_minus_Ignore	Memorize - Ignore	CZ	31.3183739419663	0.0127379870276952	-0.646868630097463	1
Memorize_minus_Ignore	Memorize - Ignore	C2	80.2759412250799	0.110473626045307	-0.625675952903783	1
Memorize_minus_Ignore	Memorize - Ignore	C4	86.3670816600631	0.206265632864207	-0.637120986787172	1
Memorize_minus_Ignore	Memorize - Ignore	C6	87.007917054519	0.303781977662466	-0.457259991421149	1
Memorize_minus_Ignore	Memorize - Ignore	T8	87.4705157424583	0.41106294130001	-0.239517803375538	0
Memorize_minus_Ignore	Memorize - Ignore	TP9	-109.678921936451	0.45745721451167	-0.551660888470136	1
Memorize_minus_Ignore	Memorize - Ignore	TP7	-108.116921321688	0.381180454458326	-0.867764402610751	1
Memorize_minus_Ignore	Memorize - Ignore	CP5	-110.854923464211	0.296956166224499	-1.16690357803152	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	-116.977488293974	0.219317343866044	-1.28080242564185	1
Memorize_minus_Ignore	Memorize - Ignore	CP1	-138.973657536829	0.126554648476873	-1.10580131239616	1
Memorize_minus_Ignore	Memorize - Ignore	CPZ	171.946682396813	0.09359073073354	-0.827426926447795	1
Memorize_minus_Ignore	Memorize - Ignore	CP2	130.815270870965	0.143134834286005	-0.76616725554833	1
Memorize_minus_Ignore	Memorize - Ignore	CP4	117.065570440328	0.218593660458049	-0.753254234790802	1
Memorize_minus_Ignore	Memorize - Ignore	CP6	110.303696338878	0.308938265578769	-0.542847859171721	1
Memorize_minus_Ignore	Memorize - Ignore	TP8	108.721971761999	0.395316627099924	-0.197930084971281	0
Memorize_minus_Ignore	Memorize - Ignore	TP10	111.938910381538	0.472039488402313	0.151729063918957	0
Memorize_minus_Ignore	Memorize - Ignore	P7	-128.695144075333	0.376865357839771	-0.962346547354872	1
Memorize_minus_Ignore	Memorize - Ignore	P5	-132.079531960037	0.310447395837801	-1.17219177834117	1
Memorize_minus_Ignore	Memorize - Ignore	P3	-140.318494140306	0.244796503502503	-1.28326128423214	1
Memorize_minus_Ignore	Memorize - Ignore	P1	-158.585677207218	0.205621636290792	-1.15480374860076	1
Memorize_minus_Ignore	Memorize - Ignore	PZ	176.30454037766	0.187602867190994	-0.921309950833137	1
Memorize_minus_Ignore	Memorize - Ignore	P2	153.902066398352	0.207590224604433	-0.837574408891109	1
Memorize_minus_Ignore	Memorize - Ignore	P4	136.462931312795	0.250540528637552	-0.705747389736084	1
Memorize_minus_Ignore	Memorize - Ignore	P6	130.613197426927	0.318435641846424	-0.567467261392337	1
Memorize_minus_Ignore	Memorize - Ignore	P8	125.648443347355	0.385355570819866	-0.31542325607286	0
Memorize_minus_Ignore	Memorize - Ignore	PO9	-143.551842405719	0.433998200778195	-0.806378703850966	1
Memorize_minus_Ignore	Memorize - Ignore	PO7	-146.337846739164	0.364366112502248	-1.02217079584415	1
Memorize_minus_Ignore	Memorize - Ignore	PO3	-154.282998955613	0.297837063107459	-1.17367877410008	1
Memorize_minus_Ignore	Memorize - Ignore	POZ	178.092613663662	0.272388697066959	-1.02166914022886	1
Memorize_minus_Ignore	Memorize - Ignore	PO4	150.497528652661	0.305144632078193	-0.774923582489674	1
Memorize_minus_Ignore	Memorize - Ignore	PO8	144.078247148093	0.368445973561582	-0.661659041276345	1
Memorize_minus_Ignore	Memorize - Ignore	PO10	142.392112190373	0.437941757342652	-0.560645995231775	1
Memorize_minus_Ignore	Memorize - Ignore	O1	-165.177966955605	0.357716965533948	-0.953226238489151	1
Probe_minus_Memorize	Probe - Memorize	OZ	178.165438894193	0.356378338522503	-4.5284240933565	1
Probe_minus_Memorize	Probe - Memorize	O2	162.50192339947	0.364547633445321	-5.05967123233355	1
Probe_minus_Memorize	Probe - Memorize	FP1	-15.915130840833	0.411584736695601	-3.88944626255677	1
Probe_minus_Memorize	Probe - Memorize	FPZ	-2.78882719227644	0.403595041302037	-3.96198993376814	1
Probe_minus_Memorize	Probe - Memorize	FP2	11.9821523235266	0.406052630372064	-3.87699384815418	1
Probe_minus_Memorize	Probe - Memorize	AF7	-29.4836150816112	0.416520601459169	-3.93070882902696	1
Probe_minus_Memorize	Probe - Memorize	AF3	-26.5891227254349	0.356438073852551	-4.08934005980308	1
Probe_minus_Memorize	Probe - Memorize	AFZ	-2.58410852879766	0.320320837150585	-3.9649120219625	1
Probe_minus_Memorize	Probe - Memorize	AF4	21.8346431004155	0.341489861617279	-3.8488697761025	1
Probe_minus_Memorize	Probe - Memorize	AF8	29.8691892270115	0.405870139779661	-3.72229253328764	1
Probe_minus_Memorize	Probe - Memorize	F9	-52.9558303224015	0.480470362757243	-3.89344488198941	1
Probe_minus_Memorize	Probe - Memorize	F7	-47.2921852279512	0.427977151157089	-4.00550862459036	1
Probe_minus_Memorize	Probe - Memorize	F5	-43.7134677827144	0.363591675215608	-3.98087300245578	1
Probe_minus_Memorize	Probe - Memorize	F3	-38.7497956816935	0.303025213240453	-4.08110498006527	1
Probe_minus_Memorize	Probe - Memorize	F1	-23.2265351791712	0.256215879342603	-4.10568318229455	1
Probe_minus_Memorize	Probe - Memorize	FZ	-3.83125085106317	0.238400616572945	-4.06769833011696	1
Probe_minus_Memorize	Probe - Memorize	F2	16.7330054553367	0.247189547933483	-3.95897797695719	1
Probe_minus_Memorize	Probe - Memorize	F4	34.8771480345284	0.275149736071717	-3.93747281207918	1
Probe_minus_Memorize	Probe - Memorize	F6	42.0663693398716	0.341720719305685	-3.72507889296573	1
Probe_minus_Memorize	Probe - Memorize	F8	47.5237333149337	0.411623539599054	-3.72486136280573	1
Probe_minus_Memorize	Probe - Memorize	F10	53.7657511116126	0.470619685720971	-3.76490733485955	1
Probe_minus_Memorize	Probe - Memorize	FT9	-66.8111088297217	0.502955243382885	-3.84024241967843	1
Probe_minus_Memorize	Probe - Memorize	FT7	-65.1428451416618	0.416539826924952	-3.93990517278703	1
Probe_minus_Memorize	Probe - Memorize	FC5	-63.4101894692344	0.331459351806703	-4.05800563097	1
Probe_minus_Memorize	Probe - Memorize	FC3	-57.384916252874	0.248043736494408	-4.17582073556976	1
Probe_minus_Memorize	Probe - Memorize	FC1	-40.696042859524	0.15739402874032	-4.27037397542825	1
Probe_minus_Memorize	Probe - Memorize	FCZ	3.19742757888598	0.121173927078835	-4.32353518444758	1
Probe_minus_Memorize	Probe - Memorize	FC2	41.1475653750066	0.15572644295323	-4.29261419971366	1
Probe_minus_Memorize	Probe - Memorize	FC4	58.807604190833	0.23293691688079	-4.12009082895663	1
Probe_minus_Memorize	Probe - Memorize	FC6	64.96101336658	0.317445599180471	-3.98619722947478	1
Probe_minus_Memorize	Probe - Memorize	FT8	66.8805520666956	0.409041637725638	-3.8303225243894	1
Probe_minus_Memorize	Probe - Memorize	FT10	69.0971575128836	0.507273781088757	-3.81921921555813	1
Probe_minus_Memorize	Probe - Memorize	T7	-87.4393835931012	0.415296323629828	-4.10337471274229	1
Probe_minus_Memorize	Probe - Memorize	C5	-87.3300820640561	0.310108003646243	-4.93592856537837	1
Probe_minus_Memorize	Probe - Memorize	C3	-87.2270240764311	0.209749783101848	-5.3029688717081	1
Probe_minus_Memorize	Probe - Memorize	C1	-84.9952922603438	0.100450053630482	-4.84187528261772	1
Probe_minus_Memorize	Probe - Memorize	CZ	31.3183739419663	0.0127379870276952	-4.78554584616079	1
Probe_minus_Memorize	Probe - Memorize	C2	80.2759412250799	0.110473626045307	-4.83668448253033	1
Probe_minus_Memorize	Probe - Memorize	C4	86.3670816600631	0.206265632864207	-5.07341368431942	1
Probe_minus_Memorize	Probe - Memorize	C6	87.007917054519	0.303781977662466	-4.7691944482593	1
Probe_minus_Memorize	Probe - Memorize	T8	87.4705157424583	0.41106294130001	-4.07339406873171	1
Probe_minus_Memorize	Probe - Memorize	TP9	-109.678921936451	0.45745721451167	-3.47247770342689	1
Probe_minus_Memorize	Probe - Memorize	TP7	-108.116921321688	0.381180454458326	-4.58521245874894	1
Probe_minus_Memorize	Probe - Memorize	CP5	-110.854923464211	0.296956166224499	-5.57027195737912	1
Probe_minus_Memorize	Probe - Memorize	CP3	-116.977488293974	0.219317343866044	-5.96212522542247	1
Probe_minus_Memorize	Probe - Memorize	CP1	-138.973657536829	0.126554648476873	-5.62422686528701	1
Probe_minus_Memorize	Probe - Memorize	CPZ	171.946682396813	0.09359073073354	-5.4658055093426	1
Probe_minus_Memorize	Probe - Memorize	CP2	130.815270870965	0.143134834286005	-5.55244198416431	1
Probe_minus_Memorize	Probe - Memorize	CP4	117.065570440328	0.218593660458049	-5.85899869323923	1
Probe_minus_Memorize	Probe - Memorize	CP6	110.303696338878	0.308938265578769	-5.57355501215296	1
Probe_minus_Memorize	Probe - Memorize	TP8	108.721971761999	0.395316627099924	-4.64856715844228	1
Probe_minus_Memorize	Probe - Memorize	TP10	111.938910381538	0.472039488402313	-3.54659886257007	1
Probe_minus_Memorize	Probe - Memorize	P7	-128.695144075333	0.376865357839771	-5.01957660920631	1
Probe_minus_Memorize	Probe - Memorize	P5	-132.079531960037	0.310447395837801	-5.47199972385827	1
Probe_minus_Memorize	Probe - Memorize	P3	-140.318494140306	0.244796503502503	-5.71574473524323	1
Probe_minus_Memorize	Probe - Memorize	P1	-158.585677207218	0.205621636290792	-5.57112118143302	1
Probe_minus_Memorize	Probe - Memorize	PZ	176.30454037766	0.187602867190994	-5.57171777922374	1
Probe_minus_Memorize	Probe - Memorize	P2	153.902066398352	0.207590224604433	-5.57623189343856	1
Probe_minus_Memorize	Probe - Memorize	P4	136.462931312795	0.250540528637552	-5.65748227595423	1
Probe_minus_Memorize	Probe - Memorize	P6	130.613197426927	0.318435641846424	-5.49984362391898	1
Probe_minus_Memorize	Probe - Memorize	P8	125.648443347355	0.385355570819866	-5.17395360080095	1
Probe_minus_Memorize	Probe - Memorize	PO9	-143.551842405719	0.433998200778195	-4.69842882067538	1
Probe_minus_Memorize	Probe - Memorize	PO7	-146.337846739164	0.364366112502248	-5.19067050401981	1
Probe_minus_Memorize	Probe - Memorize	PO3	-154.282998955613	0.297837063107459	-5.28651219835648	1
Probe_minus_Memorize	Probe - Memorize	POZ	178.092613663662	0.272388697066959	-5.1831390949396	1
Probe_minus_Memorize	Probe - Memorize	PO4	150.497528652661	0.305144632078193	-5.39337610739928	1
Probe_minus_Memorize	Probe - Memorize	PO8	144.078247148093	0.368445973561582	-5.6145231938706	1
Probe_minus_Memorize	Probe - Memorize	PO10	142.392112190373	0.437941757342652	-5.70118246227503	1
Probe_minus_Memorize	Probe - Memorize	O1	-165.177966955605	0.357716965533948	-4.73946911784319	1
Probe_minus_Ignore	Probe - Ignore	OZ	178.165438894193	0.356378338522503	-5.76937436140501	1
Probe_minus_Ignore	Probe - Ignore	O2	162.50192339947	0.364547633445321	-6.08993075042963	1
Probe_minus_Ignore	Probe - Ignore	FP1	-15.915130840833	0.411584736695601	-3.75526045835935	1
Probe_minus_Ignore	Probe - Ignore	FPZ	-2.78882719227644	0.403595041302037	-3.73647182520766	1
Probe_minus_Ignore	Probe - Ignore	FP2	11.9821523235266	0.406052630372064	-3.59135864445796	1
Probe_minus_Ignore	Probe - Ignore	AF7	-29.4836150816112	0.416520601459169	-3.79487807246355	1
Probe_minus_Ignore	Probe - Ignore	AF3	-26.5891227254349	0.356438073852551	-3.80326039974506	1
Probe_minus_Ignore	Probe - Ignore	AFZ	-2.58410852879766	0.320320837150585	-3.60318519175053	1
Probe_minus_Ignore	Probe - Ignore	AF4	21.8346431004155	0.341489861617279	-3.5180147347542	1
Probe_minus_Ignore	Probe - Ignore	AF8	29.8691892270115	0.405870139779661	-3.44028968535937	1
Probe_minus_Ignore	Probe - Ignore	F9	-52.9558303224015	0.480470362757243	-3.69155242838539	1
Probe_minus_Ignore	Probe - Ignore	F7	-47.2921852279512	0.427977151157089	-3.92288851164854	1
Probe_minus_Ignore	Probe - Ignore	F5	-43.7134677827144	0.363591675215608	-3.82310506472221	1
Probe_minus_Ignore	Probe - Ignore	F3	-38.7497956816935	0.303025213240453	-3.82927373624765	1
Probe_minus_Ignore	Probe - Ignore	F1	-23.2265351791712	0.256215879342603	-3.73625034609666	1
Probe_minus_Ignore	Probe - Ignore	FZ	-3.83125085106317	0.238400616572945	-3.63640271528409	1
Probe_minus_Ignore	Probe - Ignore	F2	16.7330054553367	0.247189547933483	-3.53132459578606	1
Probe_minus_Ignore	Probe - Ignore	F4	34.8771480345284	0.275149736071717	-3.55677339850137	1
Probe_minus_Ignore	Probe - Ignore	F6	42.0663693398716	0.341720719305685	-3.49299020463457	1
Probe_minus_Ignore	Probe - Ignore	F8	47.5237333149337	0.411623539599054	-3.49588496008745	1
Probe_minus_Ignore	Probe - Ignore	F10	53.7657511116126	0.470619685720971	-3.64413290642775	1
Probe_minus_Ignore	Probe - Ignore	FT9	-66.8111088297217	0.502955243382885	-3.8925574682653	1
Probe_minus_Ignore	Probe - Ignore	FT7	-65.1428451416618	0.416539826924952	-3.96033891433707	1
Probe_minus_Ignore	Probe - Ignore	FC5	-63.4101894692344	0.331459351806703	-4.01383657925404	1
Probe_minus_Ignore	Probe - Ignore	FC3	-57.384916252874	0.248043736494408	-3.97000383986877	1
Probe_minus_Ignore	Probe - Ignore	FC1	-40.696042859524	0.15739402874032	-3.82651185659835	1
Probe_minus_Ignore	Probe - Ignore	FCZ	3.19742757888598	0.121173927078835	-3.74968364806129	1
Probe_minus_Ignore	Probe - Ignore	FC2	41.1475653750066	0.15572644295323	-3.75148808468993	1
Probe_minus_Ignore	Probe - Ignore	FC4	58.807604190833	0.23293691688079	-3.68016836849543	1
Probe_minus_Ignore	Probe - Ignore	FC6	64.96101336658	0.317445599180471	-3.66454574121879	1
Probe_minus_Ignore	Probe - Ignore	FT8	66.8805520666956	0.409041637725638	-3.5209110086927	1
Probe_minus_Ignore	Probe - Ignore	FT10	69.0971575128836	0.507273781088757	-3.53318518170944	1
Probe_minus_Ignore	Probe - Ignore	T7	-87.4393835931012	0.415296323629828	-4.32729916360516	1
Probe_minus_Ignore	Probe - Ignore	C5	-87.3300820640561	0.310108003646243	-4.86151847271965	1
Probe_minus_Ignore	Probe - Ignore	C3	-87.2270240764311	0.209749783101848	-5.12308314979936	1
Probe_minus_Ignore	Probe - Ignore	C1	-84.9952922603438	0.100450053630482	-4.55304651764723	1
Probe_minus_Ignore	Probe - Ignore	CZ	31.3183739419663	0.0127379870276952	-4.29550881182345	1
Probe_minus_Ignore	Probe - Ignore	C2	80.2759412250799	0.110473626045307	-4.27597416593478	1
Probe_minus_Ignore	Probe - Ignore	C4	86.3670816600631	0.206265632864207	-4.33894176494617	1
Probe_minus_Ignore	Probe - Ignore	C6	87.007917054519	0.303781977662466	-3.97906642364195	1
Probe_minus_Ignore	Probe - Ignore	T8	87.4705157424583	0.41106294130001	-3.51565783872054	1
Probe_minus_Ignore	Probe - Ignore	TP9	-109.678921936451	0.45745721451167	-3.79690425900313	1
Probe_minus_Ignore	Probe - Ignore	TP7	-108.116921321688	0.381180454458326	-4.75811776060324	1
Probe_minus_Ignore	Probe - Ignore	CP5	-110.854923464211	0.296956166224499	-5.53977136356899	1
Probe_minus_Ignore	Probe - Ignore	CP3	-116.977488293974	0.219317343866044	-5.83389729605271	1
Probe_minus_Ignore	Probe - Ignore	CP1	-138.973657536829	0.126554648476873	-5.48551119606082	1
Probe_minus_Ignore	Probe - Ignore	CPZ	171.946682396813	0.09359073073354	-5.15890826026981	1
Probe_minus_Ignore	Probe - Ignore	CP2	130.815270870965	0.143134834286005	-5.06943852167863	1
Probe_minus_Ignore	Probe - Ignore	CP4	117.065570440328	0.218593660458049	-5.09938196494029	1
Probe_minus_Ignore	Probe - Ignore	CP6	110.303696338878	0.308938265578769	-4.67592359620791	1
Probe_minus_Ignore	Probe - Ignore	TP8	108.721971761999	0.395316627099924	-3.94123998513589	1
Probe_minus_Ignore	Probe - Ignore	TP10	111.938910381538	0.472039488402313	-3.23805052271256	1
Probe_minus_Ignore	Probe - Ignore	P7	-128.695144075333	0.376865357839771	-5.43760416986277	1
Probe_minus_Ignore	Probe - Ignore	P5	-132.079531960037	0.310447395837801	-5.81763393603838	1
Probe_minus_Ignore	Probe - Ignore	P3	-140.318494140306	0.244796503502503	-5.96256944135978	1
Probe_minus_Ignore	Probe - Ignore	P1	-158.585677207218	0.205621636290792	-5.87553136394574	1
Probe_minus_Ignore	Probe - Ignore	PZ	176.30454037766	0.187602867190994	-5.68102050859195	1
Probe_minus_Ignore	Probe - Ignore	P2	153.902066398352	0.207590224604433	-5.63541225917064	1
Probe_minus_Ignore	Probe - Ignore	P4	136.462931312795	0.250540528637552	-5.4182498320364	1
Probe_minus_Ignore	Probe - Ignore	P6	130.613197426927	0.318435641846424	-5.30052056364142	1
Probe_minus_Ignore	Probe - Ignore	P8	125.648443347355	0.385355570819866	-5.01570537127554	1
Probe_minus_Ignore	Probe - Ignore	PO9	-143.551842405719	0.433998200778195	-5.39023881061719	1
Probe_minus_Ignore	Probe - Ignore	PO7	-146.337846739164	0.364366112502248	-6.03715823074946	1
Probe_minus_Ignore	Probe - Ignore	PO3	-154.282998955613	0.297837063107459	-6.12802106084732	1
Probe_minus_Ignore	Probe - Ignore	POZ	178.092613663662	0.272388697066959	-6.00991757787191	1
Probe_minus_Ignore	Probe - Ignore	PO4	150.497528652661	0.305144632078193	-5.92381958606151	1
Probe_minus_Ignore	Probe - Ignore	PO8	144.078247148093	0.368445973561582	-6.04967251018836	1
Probe_minus_Ignore	Probe - Ignore	PO10	142.392112190373	0.437941757342652	-5.9569926319214	1
Probe_minus_Ignore	Probe - Ignore	O1	-165.177966955605	0.357716965533948	-5.84262962753956	1
