contrast	frequency_hz	time_s	cluster_member_channel_count
Memorize_minus_Ignore	30	0.48	0
Memorize_minus_Ignore	4	0.52	31
Memorize_minus_Ignore	6	0.52	35
Memorize_minus_Ignore	8	0.52	67
Memorize_minus_Ignore	10	0.52	67
Memorize_minus_Ignore	12	0.52	62
Memorize_minus_Ignore	14	0.52	50
Memorize_minus_Ignore	16	0.52	50
Memorize_minus_Ignore	18	0.52	48
Memorize_minus_Ignore	20	0.52	37
Memorize_minus_Ignore	22	0.52	24
Memorize_minus_Ignore	24	0.52	0
Memorize_minus_Ignore	26	0.52	0
Memorize_minus_Ignore	28	0.52	0
Memorize_minus_Ignore	30	0.52	0
Memorize_minus_Ignore	4	0.56	33
Memorize_minus_Ignore	6	0.56	36
Memorize_minus_Ignore	8	0.56	67
Memorize_minus_Ignore	10	0.56	66
Memorize_minus_Ignore	12	0.56	63
Memorize_minus_Ignore	14	0.56	66
Memorize_minus_Ignore	16	0.56	64
Memorize_minus_Ignore	18	0.56	46
Memorize_minus_Ignore	20	0.56	17
Memorize_minus_Ignore	22	0.56	9
Memorize_minus_Ignore	24	0.56	8
Memorize_minus_Ignore	26	0.56	3
Memorize_minus_Ignore	28	0.56	0
Memorize_minus_Ignore	30	0.56	0
Memorize_minus_Ignore	4	0.6	33
Memorize_minus_Ignore	6	0.6	36
Memorize_minus_Ignore	8	0.6	67
Memorize_minus_Ignore	10	0.6	66
Memorize_minus_Ignore	12	0.6	65
Memorize_minus_Ignore	14	0.6	65
Memorize_minus_Ignore	16	0.6	50
Memorize_minus_Ignore	18	0.6	30
Memorize_minus_Ignore	20	0.6	12
Memorize_minus_Ignore	22	0.6	5
Memorize_minus_Ignore	24	0.6	0
Memorize_minus_Ignore	26	0.6	0
Memorize_minus_Ignore	28	0.6	0
Memorize_minus_Ignore	30	0.6	0
Memorize_minus_Ignore	4	0.64	32
Memorize_minus_Ignore	6	0.64	35
Memorize_minus_Ignore	8	0.64	66
Memorize_minus_Ignore	10	0.64	64
Memorize_minus_Ignore	12	0.64	65
Memorize_minus_Ignore	14	0.64	51
Memorize_minus_Ignore	16	0.64	34
Memorize_minus_Ignore	18	0.64	13
Memorize_minus_Ignore	20	0.64	4
Memorize_minus_Ignore	22	0.64	0
Memorize_minus_Ignore	24	0.64	0
Memorize_minus_Ignore	26	0.64	0
Memorize_minus_Ignore	28	0.64	0
Memorize_minus_Ignore	30	0.64	0
Memorize_minus_Ignore	4	0.68	28
Memorize_minus_Ignore	6	0.68	37
Memorize_minus_Ignore	8	0.68	64
Memorize_minus_Ignore	10	0.68	62
Memorize_minus_Ignore	12	0.68	62
Memorize_minus_Ignore	14	0.68	44
Memorize_minus_Ignore	16	0.68	18
Memorize_minus_Ignore	18	0.68	0
Memorize_minus_Ignore	20	0.68	0
Memorize_minus_Ignore	22	0.68	0
Memorize_minus_Ignore	24	0.68	0
Memorize_minus_Ignore	26	0.68	0
Memorize_minus_Ignore	28	0.68	0
Memorize_minus_Ignore	30	0.68	0
Memorize_minus_Ignore	4	0.72	17
Memorize_minus_Ignore	6	0.72	39
Memorize_minus_Ignore	8	0.72	63
Memorize_minus_Ignore	10	0.72	59
Memorize_minus_Ignore	12	0.72	51
Memorize_minus_Ignore	14	0.72	17
Memorize_minus_Ignore	16	0.72	0
Memorize_minus_Ignore	18	0.72	0
Memorize_minus_Ignore	20	0.72	0
Memorize_minus_Ignore	22	0.72	0
Memorize_minus_Ignore	24	0.72	0
Memorize_minus_Ignore	26	0.72	0
Memorize_minus_Ignore	28	0.72	0
Memorize_minus_Ignore	30	0.72	0
Memorize_minus_Ignore	4	0.76	8
Memorize_minus_Ignore	6	0.76	45
Memorize_minus_Ignore	8	0.76	62
Memorize_minus_Ignore	10	0.76	57
Memorize_minus_Ignore	12	0.76	29
Memorize_minus_Ignore	14	0.76	17
Memorize_minus_Ignore	16	0.76	6
Memorize_minus_Ignore	18	0.76	0
Memorize_minus_Ignore	20	0.76	0
Memorize_minus_Ignore	22	0.76	0
Memorize_minus_Ignore	24	0.76	0
Memorize_minus_Ignore	26	0.76	0
Memorize_minus_Ignore	28	0.76	0
Memorize_minus_Ignore	30	0.76	0
Memorize_minus_Ignore	4	0.8	7
Memorize_minus_Ignore	6	0.8	41
Memorize_minus_Ignore	8	0.8	57
Memorize_minus_Ignore	10	0.8	46
Memorize_minus_Ignore	12	0.8	30
Memorize_minus_Ignore	14	0.8	20
Memorize_minus_Ignore	16	0.8	11
Memorize_minus_Ignore	18	0.8	3
Memorize_minus_Ignore	20	0.8	0
Memorize_minus_Ignore	22	0.8	0
Memorize_minus_Ignore	24	0.8	0
Memorize_minus_Ignore	26	0.8	0
Memorize_minus_Ignore	28	0.8	0
Memorize_minus_Ignore	30	0.8	0
Memorize_minus_Ignore	4	0.84	4
Memorize_minus_Ignore	6	0.84	36
Memorize_minus_Ignore	8	0.84	37
Memorize_minus_Ignore	10	0.84	45
Memorize_minus_Ignore	12	0.84	39
Memorize_minus_Ignore	14	0.84	21
Memorize_minus_Ignore	16	0.84	4
Memorize_minus_Ignore	18	0.84	0
Memorize_minus_Ignore	20	0.84	0
Memorize_minus_Ignore	22	0.84	0
Memorize_minus_Ignore	24	0.84	0
Memorize_minus_Ignore	26	0.84	0
Memorize_minus_Ignore	28	0.84	0
Memorize_minus_Ignore	30	0.84	0
Memorize_minus_Ignore	4	0.88	0
Memorize_minus_Ignore	6	0.88	36
Memorize_minus_Ignore	8	0.88	36
Memorize_minus_Ignore	10	0.88	49
Memorize_minus_Ignore	12	0.88	48
Memorize_minus_Ignore	14	0.88	24
Memorize_minus_Ignore	16	0.88	0
Memorize_minus_Ignore	18	0.88	0
Memorize_minus_Ignore	20	0.88	0
Memorize_minus_Ignore	22	0.88	0
Memorize_minus_Ignore	24	0.88	0
Memorize_minus_Ignore	26	0.88	0
Memorize_minus_Ignore	28	0.88	0
Memorize_minus_Ignore	30	0.88	0
Memorize_minus_Ignore	4	0.92	0
Memorize_minus_Ignore	6	0.92	34
Memorize_minus_Ignore	8	0.92	34
Memorize_minus_Ignore	10	0.92	49
Memorize_minus_Ignore	12	0.92	51
Memorize_minus_Ignore	14	0.92	9
Memorize_minus_Ignore	16	0.92	0
Memorize_minus_Ignore	18	0.92	0
Memorize_minus_Ignore	20	0.92	0
Memorize_minus_Ignore	22	0.92	0
Memorize_minus_Ignore	24	0.92	0
Memorize_minus_Ignore	26	0.92	0
Memorize_minus_Ignore	28	0.92	0
Memorize_minus_Ignore	30	0.92	0
Memorize_minus_Ignore	4	0.96	0
Memorize_minus_Ignore	6	0.96	36
Memorize_minus_Ignore	8	0.96	34
Memorize_minus_Ignore	10	0.96	51
Memorize_minus_Ignore	12	0.96	53
Memorize_minus_Ignore	14	0.96	7
Memorize_minus_Ignore	16	0.96	0
Memorize_minus_Ignore	18	0.96	0
Memorize_minus_Ignore	20	0.96	0
Memorize_minus_Ignore	22	0.96	0
Memorize_minus_Ignore	24	0.96	0
Memorize_minus_Ignore	26	0.96	0
Memorize_minus_Ignore	28	0.96	0
Memorize_minus_Ignore	30	0.96	0
Memorize_minus_Ignore	4	1	0
Memorize_minus_Ignore	6	1	34
Memorize_minus_Ignore	8	1	26
Memorize_minus_Ignore	10	1	55
Memorize_minus_Ignore	12	1	52
Memorize_minus_Ignore	14	1	17
Memorize_minus_Ignore	16	1	7
Memorize_minus_Ignore	18	1	0
Memorize_minus_Ignore	20	1	0
Memorize_minus_Ignore	22	1	0
Memorize_minus_Ignore	24	1	0
Memorize_minus_Ignore	26	1	0
Memorize_minus_Ignore	28	1	0
Memorize_minus_Ignore	30	1	0
Memorize_minus_Ignore	4	1.04	0
Memorize_minus_Ignore	6	1.04	28
Memorize_minus_Ignore	8	1.04	23
Memorize_minus_Ignore	10	1.04	51
Memorize_minus_Ignore	12	1.04	52
Memorize_minus_Ignore	14	1.04	26
Memorize_minus_Ignore	16	1.04	9
Memorize_minus_Ignore	18	1.04	0
Memorize_minus_Ignore	20	1.04	0
Memorize_minus_Ignore	22	1.04	0
Memorize_minus_Ignore	24	1.04	0
Memorize_minus_Ignore	26	1.04	0
Memorize_minus_Ignore	28	1.04	0
Memorize_minus_Ignore	30	1.04	0
Memorize_minus_Ignore	4	1.08	0
Memorize_minus_Ignore	6	1.08	19
Memorize_minus_Ignore	8	1.08	21
Memorize_minus_Ignore	10	1.08	45
Memorize_minus_Ignore	12	1.08	49
Memorize_minus_Ignore	14	1.08	25
Memorize_minus_Ignore	16	1.08	0
Memorize_minus_Ignore	18	1.08	0
Memorize_minus_Ignore	20	1.08	0
Memorize_minus_Ignore	22	1.08	0
Memorize_minus_Ignore	24	1.08	0
Memorize_minus_Ignore	26	1.08	0
Memorize_minus_Ignore	28	1.08	0
Memorize_minus_Ignore	30	1.08	0
Memorize_minus_Ignore	4	1.12	0
Memorize_minus_Ignore	6	1.12	14
Memorize_minus_Ignore	8	1.12	28
Memorize_minus_Ignore	10	1.12	38
Memorize_minus_Ignore	12	1.12	23
Memorize_minus_Ignore	14	1.12	8
Memorize_minus_Ignore	16	1.12	0
Memorize_minus_Ignore	18	1.12	0
Memorize_minus_Ignore	20	1.12	0
Memorize_minus_Ignore	22	1.12	0
Memorize_minus_Ignore	24	1.12	0
Memorize_minus_Ignore	26	1.12	0
Memorize_minus_Ignore	28	1.12	0
Memorize_minus_Ignore	30	1.12	0
Memorize_minus_Ignore	4	1.16	0
Memorize_minus_Ignore	6	1.16	6
Memorize_minus_Ignore	8	1.16	24
Memorize_minus_Ignore	10	1.16	38
Memorize_minus_Ignore	12	1.16	18
Memorize_minus_Ignore	14	1.16	5
Memorize_minus_Ignore	16	1.16	0
Memorize_minus_Ignore	18	1.16	0
Memorize_minus_Ignore	20	1.16	0
Memorize_minus_Ignore	22	1.16	0
Memorize_minus_Ignore	24	1.16	0
Memorize_minus_Ignore	26	1.16	0
Memorize_minus_Ignore	28	1.16	0
Memorize_minus_Ignore	30	1.16	0
Memorize_minus_Ignore	4	1.2	0
Memorize_minus_Ignore	6	1.2	0
Memorize_minus_Ignore	8	1.2	22
Memorize_minus_Ignore	10	1.2	36
Memorize_minus_Ignore	12	1.2	20
Memorize_minus_Ignore	14	1.2	13
Memorize_minus_Ignore	16	1.2	0
Memorize_minus_Ignore	18	1.2	0
Memorize_minus_Ignore	20	1.2	0
Memorize_minus_Ignore	22	1.2	0
Memorize_minus_Ignore	24	1.2	0
Memorize_minus_Ignore	26	1.2	0
Memorize_minus_Ignore	28	1.2	0
Memorize_minus_Ignore	30	1.2	0
Memorize_minus_Ignore	4	1.24	0
Memorize_minus_Ignore	6	1.24	0
Memorize_minus_Ignore	8	1.24	20
Memorize_minus_Ignore	10	1.24	34
Memorize_minus_Ignore	12	1.24	19
Memorize_minus_Ignore	14	1.24	12
Memorize_minus_Ignore	16	1.24	0
Memorize_minus_Ignore	18	1.24	0
Memorize_minus_Ignore	20	1.24	0
Memorize_minus_Ignore	22	1.24	0
Memorize_minus_Ignore	24	1.24	0
Memorize_minus_Ignore	26	1.24	0
Memorize_minus_Ignore	28	1.24	0
Memorize_minus_Ignore	30	1.24	0
Memorize_minus_Ignore	4	1.28	0
Memorize_minus_Ignore	6	1.28	3
Memorize_minus_Ignore	8	1.28	25
Memorize_minus_Ignore	10	1.28	39
Memorize_minus_Ignore	12	1.28	21
Memorize_minus_Ignore	14	1.28	7
Memorize_minus_Ignore	16	1.28	0
Memorize_minus_Ignore	18	1.28	0
Memorize_minus_Ignore	20	1.28	0
Memorize_minus_Ignore	22	1.28	0
Memorize_minus_Ignore	24	1.28	5
Memorize_minus_Ignore	26	1.28	9
Memorize_minus_Ignore	28	1.28	0
Memorize_minus_Ignore	30	1.28	0
Memorize_minus_Ignore	4	1.32	0
Memorize_minus_Ignore	6	1.32	3
Memorize_minus_Ignore	8	1.32	35
