contrast	frequency_hz	time_s	sensor_average_difference_db
Memorize_minus_Ignore	6	0.72	-0.552971315697233
Memorize_minus_Ignore	8	0.72	-0.733419643256464
Memorize_minus_Ignore	10	0.72	-0.713883154719903
Memorize_minus_Ignore	12	0.72	-0.554646446997186
Memorize_minus_Ignore	14	0.72	-0.339838857165644
Memorize_minus_Ignore	16	0.72	-0.21184466716151
Memorize_minus_Ignore	18	0.72	-0.158167110988278
Memorize_minus_Ignore	20	0.72	-0.117963675776156
Memorize_minus_Ignore	22	0.72	-0.0767673427992402
Memorize_minus_Ignore	24	0.72	-0.0403700591710709
Memorize_minus_Ignore	26	0.72	0.00323295383202308
Memorize_minus_Ignore	28	0.72	0.0106326642691364
Memorize_minus_Ignore	30	0.72	0.0101144237168945
Memorize_minus_Ignore	4	0.76	-0.39652702459116
Memorize_minus_Ignore	6	0.76	-0.502167925713128
Memorize_minus_Ignore	8	0.76	-0.65976056395464
Memorize_minus_Ignore	10	0.76	-0.63880212755504
Memorize_minus_Ignore	12	0.76	-0.4748397403438
Memorize_minus_Ignore	14	0.76	-0.24750901144116
Memorize_minus_Ignore	16	0.76	-0.124371554857984
Memorize_minus_Ignore	18	0.76	-0.124208742726512
Memorize_minus_Ignore	20	0.76	-0.153233990294224
Memorize_minus_Ignore	22	0.76	-0.160172886661036
Memorize_minus_Ignore	24	0.76	-0.146110345187728
Memorize_minus_Ignore	26	0.76	-0.158663379162084
Memorize_minus_Ignore	28	0.76	-0.18200840882978
Memorize_minus_Ignore	30	0.76	-0.220739257410245
Memorize_minus_Ignore	4	0.8	-0.340776406445345
Memorize_minus_Ignore	6	0.8	-0.443700805990642
Memorize_minus_Ignore	8	0.8	-0.617832825851519
Memorize_minus_Ignore	10	0.8	-0.591676920341884
Memorize_minus_Ignore	12	0.8	-0.41783051472884
Memorize_minus_Ignore	14	0.8	-0.187868077600568
Memorize_minus_Ignore	16	0.8	-0.115958689279032
Memorize_minus_Ignore	18	0.8	-0.120077048283584
Memorize_minus_Ignore	20	0.8	-0.115372777597055
Memorize_minus_Ignore	22	0.8	-0.0886770528469123
Memorize_minus_Ignore	24	0.8	-0.0563971403421901
Memorize_minus_Ignore	26	0.8	-0.0263308100657135
Memorize_minus_Ignore	28	0.8	0.0147731104514802
Memorize_minus_Ignore	30	0.8	0.0068539922782534
Memorize_minus_Ignore	4	0.84	-0.280083903780873
Memorize_minus_Ignore	6	0.84	-0.393437187548852
Memorize_minus_Ignore	8	0.84	-0.585904992823157
Memorize_minus_Ignore	10	0.84	-0.570296904252264
Memorize_minus_Ignore	12	0.84	-0.41248291823126
Memorize_minus_Ignore	14	0.84	-0.1892935023396
Memorize_minus_Ignore	16	0.84	-0.0665957214491456
Memorize_minus_Ignore	18	0.84	-0.078717596149621
Memorize_minus_Ignore	20	0.84	-0.0966247602465394
Memorize_minus_Ignore	22	0.84	-0.0757071003687066
Memorize_minus_Ignore	24	0.84	-0.0285008038179111
Memorize_minus_Ignore	26	0.84	0.0276390813838736
Memorize_minus_Ignore	28	0.84	0.0852004916116389
Memorize_minus_Ignore	30	0.84	0.118305722138104
Memorize_minus_Ignore	4	0.88	-0.217405944984346
Memorize_minus_Ignore	6	0.88	-0.36136395589064
Memorize_minus_Ignore	8	0.88	-0.551526281653831
Memorize_minus_Ignore	10	0.88	-0.562181190931246
Memorize_minus_Ignore	12	0.88	-0.4265821481145
Memorize_minus_Ignore	14	0.88	-0.20835619660692
Memorize_minus_Ignore	16	0.88	-0.0570234267430176
Memorize_minus_Ignore	18	0.88	-0.0345482304278261
Memorize_minus_Ignore	20	0.88	-0.066176313789276
Memorize_minus_Ignore	22	0.88	-0.0797416165854845
Memorize_minus_Ignore	24	0.88	-0.0735282627888384
Memorize_minus_Ignore	26	0.88	-0.0574313328191176
Memorize_minus_Ignore	28	0.88	-0.0379761663510605
Memorize_minus_Ignore	30	0.88	0.00569409092906665
Memorize_minus_Ignore	4	0.92	-0.15773298266866
Memorize_minus_Ignore	6	0.92	-0.34629438554126
Memorize_minus_Ignore	8	0.92	-0.518892637968895
Memorize_minus_Ignore	10	0.92	-0.565828539268088
Memorize_minus_Ignore	12	0.92	-0.42106783810817
Memorize_minus_Ignore	14	0.92	-0.166042369941702
Memorize_minus_Ignore	16	0.92	-0.00102517003603092
Memorize_minus_Ignore	18	0.92	0.0141541572211829
Memorize_minus_Ignore	20	0.92	-0.019393508049214
Memorize_minus_Ignore	22	0.92	-0.0285673175574451
Memorize_minus_Ignore	24	0.92	-0.0222393310662705
Memorize_minus_Ignore	26	0.92	-0.00264965477692026
Memorize_minus_Ignore	28	0.92	0.0425758753819776
Memorize_minus_Ignore	30	0.92	0.0826459828854529
Memorize_minus_Ignore	4	0.96	-0.106691997992779
Memorize_minus_Ignore	6	0.96	-0.335360867058982
Memorize_minus_Ignore	8	0.96	-0.487621524603962
Memorize_minus_Ignore	10	0.96	-0.559921871096147
Memorize_minus_Ignore	12	0.96	-0.40884191972469
Memorize_minus_Ignore	14	0.96	-0.167843907832912
Memorize_minus_Ignore	16	0.96	0.0240165792788497
Memorize_minus_Ignore	18	0.96	0.0270261295142904
Memorize_minus_Ignore	20	0.96	0.00331052604046782
Memorize_minus_Ignore	22	0.96	0.0138103506333442
Memorize_minus_Ignore	24	0.96	0.0428747147399701
Memorize_minus_Ignore	26	0.96	0.065798918518585
Memorize_minus_Ignore	28	0.96	0.104995042704161
Memorize_minus_Ignore	30	0.96	0.147990875964208
Memorize_minus_Ignore	4	1	-0.0692916481524076
Memorize_minus_Ignore	6	1	-0.317122020709712
Memorize_minus_Ignore	8	1	-0.461057563479009
Memorize_minus_Ignore	10	1	-0.53262534534587
Memorize_minus_Ignore	12	1	-0.408952565596603
Memorize_minus_Ignore	14	1	-0.230790698543883
Memorize_minus_Ignore	16	1	-0.0946598935107505
Memorize_minus_Ignore	18	1	-0.0639331475886726
Memorize_minus_Ignore	20	1	-0.0340995047955872
Memorize_minus_Ignore	22	1	-0.0185288405368702
Memorize_minus_Ignore	24	1	0.00288020924647124
Memorize_minus_Ignore	26	1	0.0134964012209687
Memorize_minus_Ignore	28	1	-0.0139851011037709
Memorize_minus_Ignore	30	1	-0.0116931912349232
Memorize_minus_Ignore	4	1.04	-0.0464737243352181
Memorize_minus_Ignore	6	1.04	-0.289286807890467
Memorize_minus_Ignore	8	1.04	-0.439134849464564
Memorize_minus_Ignore	10	1.04	-0.494787192028371
Memorize_minus_Ignore	12	1.04	-0.405185757186656
Memorize_minus_Ignore	14	1.04	-0.291960244877589
Memorize_minus_Ignore	16	1.04	-0.169098201825973
Memorize_minus_Ignore	18	1.04	-0.101845401260568
Memorize_minus_Ignore	20	1.04	-0.0650495669729953
Memorize_minus_Ignore	22	1.04	-0.047985869864098
Memorize_minus_Ignore	24	1.04	-0.0506635942057279
Memorize_minus_Ignore	26	1.04	-0.0598614922295861
Memorize_minus_Ignore	28	1.04	-0.0656477222859913
Memorize_minus_Ignore	30	1.04	-0.0948661607946639
Memorize_minus_Ignore	4	1.08	-0.0386289640107531
Memorize_minus_Ignore	6	1.08	-0.253271518793081
Memorize_minus_Ignore	8	1.08	-0.418507513939938
Memorize_minus_Ignore	10	1.08	-0.458139647864669
Memorize_minus_Ignore	12	1.08	-0.362572547553206
Memorize_minus_Ignore	14	1.08	-0.247072495823982
Memorize_minus_Ignore	16	1.08	-0.138370396005659
Memorize_minus_Ignore	18	1.08	-0.121289172190591
Memorize_minus_Ignore	20	1.08	-0.140259686012153
Memorize_minus_Ignore	22	1.08	-0.169806529815401
Memorize_minus_Ignore	24	1.08	-0.155178684579221
Memorize_minus_Ignore	26	1.08	-0.0942315534237731
Memorize_minus_Ignore	28	1.08	-0.0323460461902629
Memorize_minus_Ignore	30	1.08	0.00682086601975107
Memorize_minus_Ignore	4	1.12	-0.0444462158712802
Memorize_minus_Ignore	6	1.12	-0.212363733242485
Memorize_minus_Ignore	8	1.12	-0.400044604626584
Memorize_minus_Ignore	10	1.12	-0.432299683937615
Memorize_minus_Ignore	12	1.12	-0.296656630892484
Memorize_minus_Ignore	14	1.12	-0.138166297211781
Memorize_minus_Ignore	16	1.12	-0.102260864196002
Memorize_minus_Ignore	18	1.12	-0.168723431918578
Memorize_minus_Ignore	20	1.12	-0.191592329832852
Memorize_minus_Ignore	22	1.12	-0.171873974650509
Memorize_minus_Ignore	24	1.12	-0.161440197405733
Memorize_minus_Ignore	26	1.12	-0.152126893051348
Memorize_minus_Ignore	28	1.12	-0.113685734625687
Memorize_minus_Ignore	30	1.12	-0.0868522001715688
Memorize_minus_Ignore	4	1.16	-0.0610984148406998
Memorize_minus_Ignore	6	1.16	-0.175479535562873
Memorize_minus_Ignore	8	1.16	-0.385568455621204
Memorize_minus_Ignore	10	1.16	-0.426288389318195
Memorize_minus_Ignore	12	1.16	-0.259062096139334
Memorize_minus_Ignore	14	1.16	-0.133293892667744
Memorize_minus_Ignore	16	1.16	-0.141280696188586
Memorize_minus_Ignore	18	1.16	-0.194336277830216
Memorize_minus_Ignore	20	1.16	-0.17884080570866
Memorize_minus_Ignore	22	1.16	-0.122536737477708
Memorize_minus_Ignore	24	1.16	-0.0551061658946309
Memorize_minus_Ignore	26	1.16	-0.0192314826442454
Memorize_minus_Ignore	28	1.16	-0.0129658460987985
Memorize_minus_Ignore	30	1.16	-0.0588015775294111
Memorize_minus_Ignore	4	1.2	-0.0832223927034388
Memorize_minus_Ignore	6	1.2	-0.151642970740341
Memorize_minus_Ignore	8	1.2	-0.375132905180579
Memorize_minus_Ignore	10	1.2	-0.435975549130085
Memorize_minus_Ignore	12	1.2	-0.269271920937857
Memorize_minus_Ignore	14	1.2	-0.182118657044271
Memorize_minus_Ignore	16	1.2	-0.192306320621617
Memorize_minus_Ignore	18	1.2	-0.221476406958336
Memorize_minus_Ignore	20	1.2	-0.173100338473615
Memorize_minus_Ignore	22	1.2	-0.0858810076247498
Memorize_minus_Ignore	24	1.2	-0.0341487421721514
Memorize_minus_Ignore	26	1.2	-0.0271756229588694
Memorize_minus_Ignore	28	1.2	-0.0394598018593654
Memorize_minus_Ignore	30	1.2	-0.0420062312852228
Memorize_minus_Ignore	4	1.24	-0.107855322174292
Memorize_minus_Ignore	6	1.24	-0.151164500531881
Memorize_minus_Ignore	8	1.24	-0.377944667235485
Memorize_minus_Ignore	10	1.24	-0.446422322976783
Memorize_minus_Ignore	12	1.24	-0.286840480571177
Memorize_minus_Ignore	14	1.24	-0.161232367892508
Memorize_minus_Ignore	16	1.24	-0.139728599638923
Memorize_minus_Ignore	18	1.24	-0.129833091304339
Memorize_minus_Ignore	20	1.24	-0.110291845611127
Memorize_minus_Ignore	22	1.24	-0.0597511284745994
Memorize_minus_Ignore	24	1.24	-0.0488537968768097
